job_title,join_reason
Founder,"How to fine tune LLM effectively, and what LLM models I should be using for projects."
Financial Management & Compliance Advisor,"Gain knowledge and skills to be able to develop AI powered automation application for regulatory compliance tasks such as RAG, Knowledge Graph, Langchain, etc.."
Founder in the making,Build an AI product
Staff Scientist ,Better understanding and skill set in AI to make my resume stand out in data science
Data scientist,Getting skills (for my resume)
Solutions Architect,"I would like to understand AI, how to create LLM and some of the mathematics behind AI."
IT Core Systems Engineer,
,AI Basic
Founder,I want to build A.I. agents to make my job easier 
Data Analyst/ Systems Professional,how to start my own ai business
ML Engineer,"- Technical skills: learn to use LLMs/ AI
- Side projects: build up portfolio of side projects
- Community: network with other data scientists/ software engineers
"
,Learn more about AI customization. Building my own program using different tools . Learning also basics and fundamentals of AI models and in which context to use them .
Senior Specialist,Experience setting up my own environment and how to compare it to my companies existing machine learning analytics environment using XGBoost
,Learn something new about AI
Data Scientist,"Gain hands-on experience interfacing with LLMs, networking"
Founder,"I would like to get practical experience in building and deploying ai applications. I have some grounding the basics, but I want to be able to get to the point of actually deploying apps. "
Head of Data Solutions,I am on a journey to become a Citizen Data Scientist. I want to build a solid foundation in maximizing the value of data using modern techniques. 
Learner,"Learn basics and want to know what all fits where in the game .  I am not a coder and won’t code .  But from
product management perspective I want to know what all buzz words are and where do they fit ?  Like RAG .. hugging face and all other industry trends  I keep hearing but I don’t know what exactly to use them and where to use them -  what is hugging face and who are their competitions and why to use them ?  Similarly RAG etc etc etc "
PhD Student,Knowledge to build AI applications.
Teacher,I'm a full time physics and ICT teacher trying to change careers into consulting as a data scientist/analyst. I would really like to be able to make at least a simple generative AI app/tool by myself.  
Co-founder ,"Learn how to train with a dataset and predictive analysis, and build a app."
VP technology,I am VP technology in professional service organization. Planning to get a good hold on AI practise so that I can adopt and implement it within our organization 
CTO,"As a tech leader, I want to understand the possibilities of ML and AI in real-world projects and become able to help my tech teams with the right decision in terms of architecture, alghoritm, planning etc"
ML Expert,experience with AI project and regularity of doing AI activities
CEO,"ine Hands on completion of several GenAI projects - Python program and environment using OpenAI API (AND calling a web search engine AND scraping a data point from a Yahoo Finance point where the data value is NOT present in the page's HTML but is called by that HTML),  Fine-tuning a real model, actually incorporating a RAG, creating a GPT and knowing the optimum use case for it, creating a simple AI agent--that is fast; managing an AI project.  All the other items mentioned in your syllabus. But the essence is doing the actual programming and getting my own working model hands on with your assistance, not just reading about doing."
Founder,"I would like to learn AI basics and a panoramic picture of the alternatives to structure, develop and  implement AI projects.  I come from the Power Generation industry and would like to apply AI in my field, as well as for Applied AI consulting projects."
Founder at Data in Motion,Build AI tools
"CTO - founder, technology lead",I would like to deepen my understanding of AI concepts and learn how to apply them effectively in real-world projects. I'm especially interested in exploring practical techniques for building intelligent systems.
,Gain a good grasp of the concepts and principles of artificial intelligence.
Technology Analyst,Understand and create projects using AI where most appropriate
Senior Developer,Learn to create my own LLM
Product Manager,Practical experience of playing with LLM!
Information security lead,Learn how to train and apply llm in real use cases like ingest legacy code and create a llm that can suggest recoding or triage quickly former legacy code
Research Scientist,Get hands on experience with AI projects and learn on a schedule.
"Vice President, Data Management Office",Get foundational knowledge on AI and related technologies. Create AI solutions for business use cases
,A methodology to use this technology to build high ROI systems
Data Scientist ,Bridge any knowledge gaps and improve my understanding of building w/ AI
Senior Program Manager,Get more familiar with AI and have some knowledge and hands on experience to talk confidently about AI in interviews. End goal is to pivot to a career in AI. 
Success Architect,Intro to AI programming with Python
Partner Business Manger,Become an expert at AI
Web Developer,"Build AI solutions
"
,Understanding of building gen ai applications
Product Manager,Understand the details behind the scene as a PM working with engineers
Founder,Learn about LLM and RAG
Technology Analyst,Become more familliar with Python from a data science perpsective and be more create MVPs
Founder,More insight on creating production-ready AI applications.
CEO,How to use modern AI tools for freelance
Senior Software Engineer,Hands on experience in learning AI that will help explore opportunities on how we can integrate AI in building solutions as a Software Engineer.
,Ability to build AI use cases for various world problems including in Transportation
VP technology,
Product management,Practical hands on experience of building LLM tools
Head of Product,Uplevel my knowledge on AI and ideally be able to build something using AI.
Data Engineer,Practical applications for AI and an understanding of how to model AI systems at a technical level.
Solutions Architect,"Basic understanding of AI workflows.  I work with customers on presenting and selling technology on a corporate scale (Sales Solutions Architect), so am looking to get an understanding of the selection/discovery/build and operation process that's involved with selecting and building an AI enabled application (Sales Solutions Architect)"
Lead Data Analyst,Get more hands on with AI
CEO,Build a good foundation for AI models and apps
Group Product Manager,Basic knowledge on how to use AI 
Product Manager ,Learn about AI and automating AI tasks with python. 
Founder,I would like to able to replicate by myself some of the course examples
Co-founder ,Revise and build upon from previous cohort.
CEO,"Assuming I have the personal time, to fully code and get fully fully running about a half dozen of your code examples during the course on my laptop, especially using Cursor integrated with saving in Github - and further able to execute in one specific cloud environment like Github CodeSpaces and try out at least one other cloud deployment site  like Railway, Replit. Especially, I want to get the classification example working, the PDF example working but using the better pymupdf4llm,  fine tuning."
Data scientist,Upgrading my skills in data science (to find a new job)
Program Manager,"I would like to switch over to AI Product Management from Operational Program Management. I got laid-off in Oct'24. Even since, I tried learning, did a lot of exercise of my own. I'm not looking for new opportunity till I'm ready for AI. Here are my goals
- Real time and Practicle AI Product Implementation
- Real time build Product Strategy
- Real time do Product Design

Rest are covered in the course, I shall try to pick them to fulfill my goals.

Shaw, I'm excited to learn from you!

Thank you"
Data Scientist,"I would like to be more participative in the course, even though I might have some overlapping commitments with class time. Onus is on me to take initiative asynchronously"
,
ML Engineer,"- Review material and gain a deeper understanding of topics covered
- Build something useful! "
PhD Student,Build AI applications 
Research Scientist,
Staff Scientist ,
Senior Program Manager,Be more knowledgeable with AI
Founder in the making,
Founder,
Senior Developer,
Chief Product and Technology Officer,Get a better understanding of the mechanics of AI by applying concepts in practice. 
ML Expert,
,Become AI enabled
"CTO - founder, technology lead","From the AI Builders Bootcamp, I hope to achieve the following:
- Deep Technical Knowledge: Gain a solid understanding of AI concepts and frameworks, especially hands-on experience with building and deploying AI models.
- Practical Application Skills: Learn how to apply AI techniques to real-world problems effectively, focusing on areas like computer vision, natural language processing, or predictive analytics.
- Best Practices: Understand industry-standard workflows and tools to design scalable, efficient, and reliable AI systems.
- Career Growth: Build a strong foundation to excel as an AI professional, with insights into what it takes to stand out in this field.
Finally, to connect with like-minded learners and experts in AI to collaborate, share ideas, and grow together."
